asset_id,source,source_url,license_status,cost_jpy_estimate,format,skeleton_hint,tags,intended_iatf_use,local_path,status,quality_score,known_issues,next_action,last_reviewed
mixamo_walk_basic,Adobe Mixamo,https://www.mixamo.com/,user_download_required,0,fbx,mixamo,walk|idle_transition,opening walk-in or camera-facing stance,,wanted,,,,download Mixamo FBX with skin disabled if possible,2026-05-03
mixamo_talking_gesture,Adobe Mixamo,https://www.mixamo.com/,user_download_required,0,fbx,mixamo,talking_gesture|explain,IATF instructor hand gestures,,wanted,,,,download 3-5 calm talking/gesture clips,2026-05-03
mixamo_pointing,Adobe Mixamo,https://www.mixamo.com/,user_download_required,0,fbx,mixamo,pointing|explain,pointing to slide/evidence/checklist,,wanted,,,,download pointing or presenting clips,2026-05-03
mixamo_reaction_subtle,Adobe Mixamo,https://www.mixamo.com/,user_download_required,0,fbx,mixamo,reaction|surprised|thinking,small reaction before key explanation,,wanted,,,,download subtle reaction clips only,2026-05-03
rokoko_free_walk_cycle,Rokoko Motion Library,https://www.rokoko.com/products/motion-library,check_required,0,fbx|bvh,mixamo_or_hik,walk|idle,natural base body motion,,candidate,,,,review free asset terms and export skeleton,2026-05-03
rokoko_free_idle,Rokoko Free Resources,https://www.rokoko.com/free-resources,check_required,0,fbx|bvh,mixamo_or_hik,idle|talking_gesture,avoid frozen presenter body,,candidate,,,,review free everyday idle pack,2026-05-03
rokoko_vision_self_capture,Rokoko Vision,https://www.rokoko.com/products/vision,check_required,0,fbx,mixamo_or_hik,custom_reference|gesture,record custom explanation gestures up to short clips,,candidate,,,,use only for short reference motions,2026-05-03
freemocap_custom_capture,FreeMoCap,https://freemocap.org/,open_source_check_required,0,fbx|blend|csv,freemocap,custom_reference|walk|gesture,local custom motion capture if webcams available,,candidate,,,,evaluate setup effort before use,2026-05-03
cmu_bvh_walk,CMU Graphics Lab Mocap,https://mocap.cs.cmu.edu/,check_required,0,bvh,cmu_bvh,walk|turn|daily_motion,fallback broad BVH motion source,,candidate,,,,test BVH retargeting quality before adoption,2026-05-03
mocaponline_free_sample,MoCap Online,https://mocaponline.com/,check_required,0,fbx|bvh,varies,walk|conversation|social,high-quality sample reference,,candidate,,,,review free pack terms and skeleton,2026-05-03
mixamo_happy_walk_backward_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,walk|backward|cheerful,possible cutaway or character reposition,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Happy Walk Backward.fbx,inspected,,short 32-frame clip; may be too cheerful for IATF,preview retarget on Bulma/Goku and score,2026-05-03
mixamo_walk_in_circle_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,walk|turn|circle,possible scene entrance or transition,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Walk In Circle.fbx,inspected,,long 377-frame clip; root motion likely needs trimming,extract short turn segment and preview,2026-05-03
mixamo_walker_walk_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,walk|steady,main walk candidate for IATF opening,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Walker Walk.fbx,inspected,,112-frame clip; likely best first walk candidate,preview retarget on Bulma/Goku and score,2026-05-03
mixamo_walking_left_turn_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,walk|left_turn,turn-to-board or turn-to-camera transition,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Walking Left Turn.fbx,inspected,,short 37-frame clip; useful transition if root rotation behaves,preview as transition segment,2026-05-03
mixamo_walking_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,walk|basic,baseline walk loop/data sanity check,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/Walking.fbx,inspected,,42-frame clip; likely loopable,make first low-cost retarget probe,2026-05-03
mixamo_dwarf_idle_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,idle|stylized,probably not first choice for IATF instructor,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/idle/Dwarf Idle.fbx,inspected,,211-frame clip; name suggests stylized body motion,preview only if normal idle fails,2026-05-03
mixamo_fight_idle_to_standing_idle_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,idle_transition|fight,not suitable for normal IATF scene except transition testing,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/idle/Fight Idle To Standing Idle.fbx,inspected,,33-frame clip; fight posture likely too aggressive,low priority,2026-05-03
mixamo_idle_1_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,idle|standing,primary standing presenter idle candidate,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/idle/Idle (1).fbx,inspected,,251-frame clip; likely good base idle,preview retarget on Bulma/Goku and score,2026-05-03
mixamo_idle_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,idle|standing,primary standing presenter idle candidate,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/idle/Idle.fbx,inspected,,251-frame clip; likely good base idle,preview retarget on Bulma/Goku and score,2026-05-03
mixamo_kneeling_idle_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,idle|kneeling,not for standard IATF explanation,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/idle/Kneeling Idle.fbx,inspected,,129-frame clip; non-standing pose,exclude from first IATF cut,2026-05-03
mixamo_laying_idle_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,idle|laying,not suitable for IATF instruction,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/idle/Laying Idle.fbx,inspected,,65-frame clip; non-standing pose,exclude from IATF training scenes,2026-05-03
mixamo_ninja_idle_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,idle|ninja|stylized,not suitable for business-like IATF scene,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/idle/Ninja Idle.fbx,inspected,,101-frame clip; likely too stylized,low priority,2026-05-03
mixamo_sad_idle_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,idle|sad|subtle_reaction,possible concern/risk explanation pose,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/idle/Sad Idle.fbx,inspected,,85-frame clip; mood may be useful for issue/risk scene,preview as reaction segment,2026-05-03
mixamo_standing_idle_to_fight_idle_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,idle_transition|fight,not suitable for normal IATF scene,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/idle/Standing Idle To Fight Idle.fbx,inspected,,31-frame clip; fight posture likely too aggressive,low priority,2026-05-03
mixamo_pacing_and_talking_on_phone_20260503,Adobe Mixamo,https://www.mixamo.com/,user_downloaded,0,fbx,mixamo,talking|pacing|phone,not first choice for IATF instructor,data/workspace/apps/motion_lab/assets/motions/raw/mixamo/talking/Pacing And Talking On A Phone.fbx,inspected,,1130-frame clip; phone prop behavior likely unsuitable,low priority unless phone scene needed,2026-05-03
